function,group,deprecated_in_c_api,header_line,node_neo_binding,node_neo_wrapper,node_neo_symbol,node_neo_reason,go_binding,go_wrapper,go_symbol,go_reason,rust_binding,rust_wrapper,rust_symbol,rust_reason,csharp_binding,csharp_wrapper,csharp_symbol,csharp_reason,swift_binding,swift_wrapper,swift_symbol,swift_reason,julia_binding,julia_wrapper,julia_symbol,julia_reason
duckdb_create_instance_cache,Open Connect,False,938,True,True,create_instance_cache,,True,True,CreateInstanceCache,,True,False,duckdb_create_instance_cache,,False,False,,,False,False,,,True,False,duckdb_create_instance_cache,
duckdb_get_or_create_from_cache,Open Connect,False,952,True,True,get_or_create_from_cache,,True,True,GetOrCreateFromCache,,True,False,duckdb_get_or_create_from_cache,,False,False,,,False,False,,,True,False,duckdb_get_or_create_from_cache,
duckdb_destroy_instance_cache,Open Connect,False,961,False,False,,destroyed in finalizer,True,False,DestroyInstanceCache,,True,False,duckdb_destroy_instance_cache,,False,False,,,False,False,,,True,False,duckdb_destroy_instance_cache,
duckdb_open,Open Connect,False,972,True,True,open,,True,False,Open,,True,True,duckdb_open,,True,True,Startup.DuckDBOpen,,False,False,,,True,False,duckdb_open,
duckdb_open_ext,Open Connect,False,985,False,False,,consolidated into open,True,True,OpenExt,,True,True,duckdb_open_ext,,True,True,Startup.DuckDBOpen,,False,True,duckdb_open_ext,,True,True,duckdb_open_ext,
duckdb_close,Open Connect,False,996,True,False,close,,True,True,Close,,True,True,duckdb_close,,True,False,Startup.DuckDBClose,,False,True,duckdb_close,,True,True,duckdb_close,
duckdb_connect,Open Connect,False,1007,True,True,connect,,True,True,Connect,,True,True,duckdb_connect,,True,True,Startup.DuckDBConnect,,False,True,duckdb_connect,,True,True,duckdb_connect,
duckdb_interrupt,Open Connect,False,1014,True,True,interrupt,,True,True,Interrupt,,True,True,duckdb_interrupt,,True,False,Startup.DuckDBInterrupt,,False,False,,,True,False,duckdb_interrupt,
duckdb_query_progress,Open Connect,False,1022,True,True,query_progress,,True,False,QueryProgress,,True,False,duckdb_query_progress,,True,True,Startup.DuckDBQueryProgress,,False,False,,,True,False,duckdb_query_progress,
duckdb_disconnect,Open Connect,False,1029,True,False,disconnect,,True,True,Disconnect,,True,True,duckdb_disconnect,,True,False,Startup.DuckDBDisconnect,,False,True,duckdb_disconnect,,True,True,duckdb_disconnect,
duckdb_connection_get_client_context,Open Connect,False,1037,True,True,connection_get_client_context,,True,True,ConnectionGetClientContext,,True,False,duckdb_connection_get_client_context,,True,True,Startup.DuckDBConnectionGetClientContext,,False,False,,,True,False,duckdb_connection_get_client_context,
duckdb_connection_get_arrow_options,Open Connect,False,1045,False,False,,TODO: arrow,True,False,ConnectionGetArrowOptions,,True,False,duckdb_connection_get_arrow_options,,False,False,,,False,False,,,True,False,duckdb_connection_get_arrow_options,
duckdb_client_context_get_connection_id,Open Connect,False,1054,True,True,client_context_get_connection_id,,True,True,ClientContextGetConnectionId,,True,False,duckdb_client_context_get_connection_id,,True,False,Startup.DuckDBClientContextGetConnectionId,,False,False,,,True,False,duckdb_client_context_get_connection_id,
duckdb_destroy_client_context,Open Connect,False,1061,False,False,,destroyed in finalizer,True,True,DestroyClientContext,,True,False,duckdb_destroy_client_context,,True,False,Startup.DuckDBDestroyClientContext,,False,False,,,True,False,duckdb_destroy_client_context,
duckdb_destroy_arrow_options,Open Connect,False,1068,False,False,,TODO: arrow,True,False,DestroyArrowOptions,,True,True,duckdb_destroy_arrow_options,,True,False,Arrow.DuckDBDestroyArrowOptions,,False,False,,,True,False,duckdb_destroy_arrow_options,
duckdb_library_version,Open Connect,False,1075,True,True,library_version,,True,False,LibraryVersion,,True,False,duckdb_library_version,,True,True,Startup.DuckDBLibraryVersion,,False,False,,,True,False,duckdb_library_version,
duckdb_get_table_names,Open Connect,False,1087,True,True,get_table_names,,True,True,GetTableNames,,True,False,duckdb_get_table_names,,False,False,,,False,False,,,True,False,duckdb_get_table_names,
duckdb_create_config,Configuration,False,1109,True,True,create_config,,True,True,CreateConfig,,True,True,duckdb_create_config,,True,True,Configuration.DuckDBCreateConfig,,False,True,duckdb_create_config,,True,True,duckdb_create_config,
duckdb_config_count,Configuration,False,1118,True,True,config_count,,True,False,ConfigCount,,True,False,duckdb_config_count,,True,True,Configuration.DuckDBConfigCount,,False,True,duckdb_config_count,,True,False,duckdb_config_count,
duckdb_get_config_flag,Configuration,False,1131,True,True,get_config_flag,,True,False,GetConfigFlag,,True,False,duckdb_get_config_flag,,True,True,Configuration.DuckDBGetConfigFlag,,False,True,duckdb_get_config_flag,,True,False,duckdb_get_config_flag,
duckdb_set_config,Configuration,False,1146,True,True,set_config,,True,True,SetConfig,,True,True,duckdb_set_config,,True,True,Configuration.DuckDBSetConfig,,False,True,duckdb_set_config,,True,True,duckdb_set_config,
duckdb_destroy_config,Configuration,False,1153,False,False,,destroyed in finalizer,True,True,DestroyConfig,,True,True,duckdb_destroy_config,,True,False,Configuration.DuckDBDestroyConfig,,False,True,duckdb_destroy_config,,True,True,duckdb_destroy_config,
duckdb_create_error_data,Error Data,False,1171,False,False,,TODO: error data,True,False,CreateErrorData,,True,True,duckdb_create_error_data,,False,False,,,False,False,,,True,False,duckdb_create_error_data,
duckdb_destroy_error_data,Error Data,False,1178,False,False,,TODO: error data,True,True,DestroyErrorData,,True,True,duckdb_destroy_error_data,,True,False,ErrorData.DuckDBDestroyErrorData,,False,False,,,True,False,duckdb_destroy_error_data,
duckdb_error_data_error_type,Error Data,False,1186,False,False,,TODO: error data,True,True,ErrorDataErrorType,,True,True,duckdb_error_data_error_type,,True,True,ErrorData.DuckDBErrorDataErrorType,,False,False,,,True,False,duckdb_error_data_error_type,
duckdb_error_data_message,Error Data,False,1194,False,False,,TODO: error data,True,True,ErrorDataMessage,,True,True,duckdb_error_data_message,,True,False,ErrorData.DuckDBErrorDataMessage,,False,False,,,True,False,duckdb_error_data_message,
duckdb_error_data_has_error,Error Data,False,1202,False,False,,TODO: error data,True,True,ErrorDataHasError,,True,True,duckdb_error_data_has_error,,True,False,ErrorData.DuckDBErrorDataHasError,,False,False,,,True,False,duckdb_error_data_has_error,
duckdb_query,Query Execution,False,1224,True,True,query,,True,False,Query,,True,True,duckdb_query,,True,False,Query.DuckDBQuery,,False,True,duckdb_query,,True,True,duckdb_query,
duckdb_destroy_result,Query Execution,False,1231,False,False,,destroyed in finalizer,True,True,DestroyResult,,True,True,duckdb_destroy_result,,True,False,Query.DuckDBDestroyResult,,False,True,duckdb_destroy_result,,True,True,duckdb_destroy_result,
duckdb_column_name,Query Execution,False,1243,True,True,column_name,,True,True,ColumnName,,True,True,duckdb_column_name,,True,True,Query.DuckDBColumnName,,False,True,duckdb_column_name,,True,True,duckdb_column_name,
duckdb_column_type,Query Execution,False,1254,True,True,column_type,,True,True,ColumnType,,True,False,duckdb_column_type,,True,False,Query.DuckDBColumnType,,False,True,duckdb_column_type,,True,False,duckdb_column_type,
